model_name,report_path,total_size,labels,r2_score,macro_f1,micro_f1,samples_f1
random_forest,data\model_report.json,630,"['couple', 'friend_meal', 'friend_drink', 'business_meal', 'business_drink']",0.3728475008066455,0.61886476017437,0.6687747035573123,0.22781179138321997
catboost,data\model_report_catboost.json,630,"['couple', 'friend_meal', 'friend_drink', 'business_meal', 'business_drink']",0.3362079169778398,0.5422163067543057,0.599644128113879,0.18783824640967497
adaboost,data\model_report_adaboost.json,630,"['couple', 'friend_meal', 'friend_drink', 'business_meal', 'business_drink']",-0.12295388002767667,0.5891431164675447,0.6244579358196011,0.20174225245653818
