feature,label,positive_mean,negative_mean,mean_difference,t_value,p_value,feature_std,adjusted_p_value,significant_fdr_0_05
rating,couple,4.526341463414634,3.942388888888889,0.5839525745257452,8.38925419961108,3.891678911613398e-14,0.9107744512213253,3.714784415630971e-13,True
rating,friend_meal,4.48860465116279,3.943659217877095,0.5449454332856951,8.1063350229119,8.615109915057392e-14,0.9107744512213253,6.958358008315586e-13,True
rating,friend_drink,4.489555555555555,3.9404775280898874,0.5490780274656673,8.31108970494912,1.515315522589085e-14,0.9107744512213253,1.5910812987185394e-13,True
rating,business_meal,4.496111111111111,3.9788772845953,0.5172338265158114,5.56409673599254,4.420032896768637e-06,0.9107744512213253,1.4503232942522088e-05,True
rating,business_drink,4.538461538461538,3.984123711340206,0.5543378271213322,5.184608683016904,5.956314084760769e-05,0.9107744512213253,0.00014890785211901924,True
review_count,couple,1893.590909090909,586.313025210084,1307.277883880825,6.934456072360435,6.92972258863679e-11,1610.7010102927245,4.2801227753344877e-10,True
review_count,friend_meal,1815.9454545454546,582.9397849462366,1233.005669599218,6.733127291702164,1.8051050984518912e-10,1610.7010102927245,1.0529779740969365e-09,True
review_count,friend_drink,1800.2752808988764,553.6482300884956,1246.6270508103808,7.207659482555197,9.488624984248139e-12,1610.7010102927245,6.642037488973697e-11,True
review_count,business_meal,1609.655737704918,830.4200351493848,779.2357025555332,3.0140736285877643,0.0036141523956365706,1610.7010102927245,0.0063247666923639985,True
review_count,business_drink,1479.6041666666667,858.5515463917526,621.0526202749141,2.2726269932780707,0.02713720523770575,1610.7010102927245,0.04190303749939858,True
collected_review_count,couple,11.551948051948052,27.869747899159663,-16.31779984721161,-18.84215110804507,1.548431287202626e-62,15.399815797453652,1.6258528515627574e-60,True
collected_review_count,friend_meal,12.23030303030303,28.01505376344086,-15.78475073313783,-17.148443354947435,1.7825900739132106e-53,15.399815797453652,6.239065258696237e-52,True
collected_review_count,friend_drink,12.202247191011235,28.48008849557522,-16.277841304563985,-17.976933697736605,3.0677146907059493e-58,15.399815797453652,1.6105502126206234e-56,True
collected_review_count,business_meal,13.426229508196721,25.00175746924429,-11.575527961047568,-8.69235300187229,6.099965497444955e-14,15.399815797453652,5.337469810264335e-13,True
collected_review_count,business_drink,12.270833333333334,24.83848797250859,-12.567654639175258,-9.843255487096316,1.2803161482783465e-15,15.399815797453652,1.9204742224175196e-14,True
taste_score,couple,0.8288152598965558,0.824782001432542,0.004033258464013811,0.8535344585076177,0.3940819415904089,0.05368803535581537,0.4649281333369992,False
taste_score,friend_meal,0.832486561372626,0.8233838711386585,0.009102690233967481,1.938483914958193,0.053480186122457404,0.05368803535581537,0.0802202791836861,False
taste_score,friend_drink,0.8313150521456192,0.8235834146549543,0.0077316374906648555,1.6625960750235484,0.09731997227754142,0.05368803535581537,0.1293493302423019,False
taste_score,business_meal,0.8304772710743742,0.825263038963836,0.005214232110538175,0.7191129913897714,0.47435478276302073,0.05368803535581537,0.5534139132235242,False
taste_score,business_drink,0.828661160534546,0.8255292903785246,0.0031318701560213436,0.39080281335896916,0.6974479548856211,0.05368803535581537,0.762833700656148,False
taste_confidence,couple,0.8219181784119484,0.36292925358792916,0.4589889248240192,18.17707787271241,8.043790898265541e-50,0.35079785984830586,1.6891960886357637e-48,True
taste_confidence,friend_meal,0.7815274720043962,0.3664036372098257,0.4151238347945705,16.696197969820474,2.8738312152563698e-46,0.35079785984830586,5.029204626698647e-45,True
taste_confidence,friend_drink,0.7823882290794955,0.3541252641750976,0.42826296490439786,17.60197313335198,6.408334679137353e-51,0.35079785984830586,1.6821878532735551e-49,True
taste_confidence,business_meal,0.7922802276192192,0.4411258880466115,0.3511543395726077,9.48163838972454,7.338750743710211e-15,0.35079785984830586,9.632110351119652e-14,True
taste_confidence,business_drink,0.8364570910355794,0.445326089026781,0.3911310020087984,10.031514792674859,1.2735877632929087e-14,0.35079785984830586,1.4858523905083933e-13,True
taste_mentions,couple,8.616883116883116,7.796218487394958,0.8206646294881583,2.9742927559170043,0.003094364758178856,3.8616770352159473,0.005793022644587997,True
taste_mentions,friend_meal,8.472727272727273,7.827956989247312,0.6447702834799607,2.2402470708551827,0.02557154457178146,3.8616770352159473,0.04007480865726945,True
taste_mentions,friend_drink,8.50561797752809,7.79646017699115,0.7091578005369392,2.452640976609286,0.014539149710135695,3.8616770352159473,0.023853292493191375,True
taste_mentions,business_meal,9.01639344262295,7.8875219683655535,1.128871474257397,3.001580226776642,0.003457967348540187,3.8616770352159473,0.006154009688079994,True
taste_mentions,business_drink,9.145833333333334,7.902061855670103,1.2437714776632305,3.3212040272624503,0.0014141682959871423,3.8616770352159473,0.002801654171295282,True
value_score,couple,0.668332943952716,0.6661681971921879,0.0021647467605281356,0.3954407693178905,0.6927957686755711,0.06429492180875948,0.762833700656148,False
value_score,friend_meal,0.6672119080561568,0.6665147750600727,0.0006971329960840933,0.12430694196875273,0.9011526785688835,0.06429492180875948,0.9085141418869518,False
value_score,friend_drink,0.6680273203380263,0.6661736110885642,0.0018537092494620433,0.3399408266593179,0.7341017522435992,0.06429492180875948,0.7946462266554425,False
value_score,business_meal,0.6404323356726261,0.6695131155644455,-0.02908077989181934,-3.6457872834024987,0.00048448985697325907,0.06429492180875948,0.001017428699643844,True
