restaurant_id,restaurant_name,area,category,price,rating,review_count,photo_ratio,collected_review_count,taste_score,taste_confidence,taste_mentions,value_score,value_confidence,value_mentions,portion_score,portion_confidence,portion_mentions,brightness_score,brightness_confidence,brightness_mentions,noise_score,noise_confidence,noise_mentions,spaciousness_score,spaciousness_confidence,spaciousness_mentions,seat_type,couple,friend_meal,friend_drink,business_meal,business_drink
1428481536,강남진해장,강남,한식,,3.3,546,,41,0.79931052238927,0.2926829268292683,12,0.634778911564626,0.04878048780487805,2,0.5722222222222222,0.024390243902439025,1,0.574074074074074,0.024390243902439025,1,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
7983060,신동궁감자탕뼈숯불구이 역삼직영점,강남,한식,,3.4,1319,,40,0.9001508585237238,0.3,12,0.5886904761904762,0.0,0,0.6571428571428571,0.05,2,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
1424086789,스시마이우 강남CGV점,강남,일식,,4.3,185,,40,0.8459658787109768,0.325,13,0.680952380952381,0.05,2,0.6833333333333333,0.0,0,0.29166666666666663,0.0,0,0.3125,0.0,0,0.577056277056277,0.0,0,room,0,0,0,0,0
19381618,갓포아키 도산공원점,강남,일식,,4.3,81,,43,0.8941140268591248,0.3023255813953488,13,0.6095238095238095,0.046511627906976744,2,0.6833333333333333,0.0,0,0.29166666666666663,0.0,0,0.3159722222222222,0.023255813953488372,1,0.577056277056277,0.0,0,room,0,1,1,0,0
24041168,시추안하우스 삼성점,강남,중식,,3.3,202,,40,0.7952971245643029,0.175,7,0.6322340530415064,0.05,2,0.6719298245614035,0.0,0,0.3333333333333333,0.0,0,0.3888888888888889,0.0,0,0.6215277777777777,0.025,1,"group,room",0,0,0,0,0
10954377,가담,강남,중식,,3.2,287,,41,0.751754190777095,0.0975609756097561,4,0.585127674258109,0.0,0,0.6719298245614035,0.0,0,0.3333333333333333,0.0,0,0.3888888888888889,0.0,0,0.6124999999999999,0.0,0,"bar,room",0,0,0,0,0
26572124,울프강스테이크하우스 청담점,강남,양식,,3.7,1403,,43,0.8798075465617483,0.20930232558139536,9,0.5821031746031745,0.023255813953488372,1,0.6177777777777778,0.0,0,0.4444444444444444,0.0,0,0.32708333333333334,0.0,0,0.544047619047619,0.0,0,room,0,0,0,0,0
1124684582,어거스트힐 강남점,강남,양식,,3.5,2235,,42,0.8401987361086627,0.2619047619047619,11,0.7444999999999999,0.11904761904761904,5,0.6177777777777778,0.0,0,0.4444444444444444,0.0,0,0.32708333333333334,0.0,0,0.544047619047619,0.0,0,"group,room",1,0,0,0,0
1551955711,카페프라미스,강남,카페 디저트,,4.2,171,,39,0.8465235275580102,0.1794871794871795,7,0.6174242424242423,0.02564102564102564,1,0.6927083333333334,0.02564102564102564,1,0.675,0.0,0,0.3133889919604205,0.05128205128205128,2,0.6907585470085471,0.07692307692307693,3,,0,0,0,0,0
1419529121,더플레이트디저트,강남,카페 디저트,,3.7,132,,43,0.7950815468056848,0.18604651162790697,8,0.6174242424242423,0.023255813953488372,1,0.6979166666666666,0.0,0,0.675,0.0,0,0.33874458874458874,0.0,0,0.6252136752136752,0.0,0,room,0,0,0,0,0
27229361,미식일가,건대,한식,,4.1,114,,41,0.8860427321965785,0.1951219512195122,8,0.7845175107079869,0.0975609756097561,4,0.7083333333333334,0.0,0,0.491358024691358,0.0,0,0.6666666666666666,0.024390243902439025,1,0.5,0.0,0,room,0,0,0,0,0
17101239,고흥순대국머리고기,건대,한식,,3.7,188,,44,0.8783981450648116,0.1590909090909091,7,0.732331821617536,0.022727272727272728,1,0.7083333333333334,0.0,0,0.491358024691358,0.0,0,0.6666666666666666,0.0,0,0.5277777777777778,0.022727272727272728,1,,0,0,0,0,0
413860309,고씨네 건국대점,건대,일식,,4.9,28,,41,0.9084127838965301,0.34146341463414637,14,0.8084075184075183,0.12195121951219512,5,0.7059523809523809,0.04878048780487805,2,0.491358024691358,0.0,0,0.38541666666666663,0.0,0,0.4861111111111111,0.0,0,room,0,0,0,0,0
1873080066,포비,건대,일식,,3.6,128,,42,0.8867673040467158,0.23809523809523808,10,0.7569086997658426,0.047619047619047616,2,0.6847222222222222,0.023809523809523808,1,0.491358024691358,0.0,0,0.38541666666666663,0.0,0,0.46064814814814814,0.023809523809523808,1,,0,0,0,0,0
1026281815,하이디라오 건대점,건대,중식,,4.2,941,,39,0.8499208294938085,0.15384615384615385,6,0.7037890424987199,0.05128205128205128,2,0.6644444444444445,0.0,0,0.6666666666666666,0.0,0,0.3828207671957672,0.0,0,0.6416666666666666,0.02564102564102564,1,room,0,0,0,0,0
610799971,송화산시도삭면 2호점,건대,중식,,4.2,983,,43,0.8076253172639917,0.18604651162790697,8,0.7037890424987199,0.046511627906976744,2,0.6644444444444445,0.0,0,0.6666666666666666,0.0,0,0.3828207671957672,0.0,0,0.6416666666666666,0.023255813953488372,1,room,0,0,0,0,0
747243423,드로잉레시피,건대,양식,,3.6,454,,43,0.8027623753464089,0.27906976744186046,12,0.6347106743932142,0.046511627906976744,2,0.6669973544973544,0.023255813953488372,1,0.5,0.0,0,0.2833333333333333,0.0,0,0.4924812030075188,0.0,0,room,0,0,0,0,0
641607564,페르바코,건대,양식,,4.9,39,,22,0.7650061798871322,0.18181818181818182,4,0.6849402312365275,0.045454545454545456,1,0.667063492063492,0.0,0,0.5,0.0,0,0.2833333333333333,0.0,0,0.4924812030075188,0.0,0,,0,0,0,0,0
1047206173,보리스카페,건대,카페 디저트,,4.5,45,,43,0.894854349932475,0.2558139534883721,11,0.6694444444444444,0.023255813953488372,1,0.6875,0.0,0,0.6666666666666666,0.0,0,0.30238095238095236,0.0,0,0.5528083028083027,0.023255813953488372,1,room,0,0,0,0,0
693959559,해피니스디저트 건대점,건대,카페 디저트,,,250,,7,0.832764689014689,0.0,0,0.67,0.0,0,0.6875,0.0,0,0.6666666666666666,0.0,0,0.30238095238095236,0.0,0,0.53003663003663,0.0,0,room,0,0,0,0,0
1999496197,쭈꾸미도사 잠실새내점,잠실,한식,,3.9,1954,,40,0.8974004716980033,0.275,11,0.6672427035330261,0.025,1,0.6734273956496178,0.025,1,0.491358024691358,0.0,0,0.3333333333333333,0.0,0,0.6868686868686869,0.025,1,room,0,0,0,0,0
1747047105,후발대 잠실직영점,잠실,한식,,4.7,283,,40,0.8445158563133879,0.275,11,0.6672427035330261,0.025,1,0.6747795414462081,0.0,0,0.491358024691358,0.0,0,0.3333333333333333,0.0,0,0.6909090909090909,0.0,0,room,0,0,0,0,0
1014186276,훈지,잠실,일식,,4.9,136,,39,0.8774152947185796,0.23076923076923078,9,0.7313532555879495,0.05128205128205128,2,0.5942460317460317,0.02564102564102564,1,0.3333333333333333,0.0,0,0.4095238095238095,0.0,0,0.5454545454545454,0.0,0,room,0,0,0,0,0
2097670691,선남씨,잠실,일식,,4.2,147,,43,0.8774152947185796,0.20930232558139536,9,0.7905187074829932,0.11627906976744186,5,0.7040178571428571,0.06976744186046512,3,0.3333333333333333,0.0,0,0.4095238095238095,0.0,0,0.5656565656565656,0.023255813953488372,1,room,0,0,0,0,0
1770327564,무한리필 홍태관 잠실새내본점,잠실,중식,,4.3,83,,42,0.7549057647534537,0.21428571428571427,9,0.7339901477832513,0.09523809523809523,4,0.632051282051282,0.0,0,0.5,0.0,0,0.3333333333333333,0.0,0,0.6071428571428571,0.0,0,,0,0,0,0,0
17969703,샹하이,잠실,중식,,3.7,16,,43,0.6171712431610621,0.18604651162790697,8,0.6599160737091772,0.09302325581395349,4,0.632051282051282,0.0,0,0.5,0.0,0,0.3333333333333333,0.0,0,0.6071428571428571,0.0,0,,0,0,0,0,0
1135861647,미태리 잠실새내점,잠실,양식,,4.5,46,,40,0.8030851777303856,0.2,8,0.77097866419295,0.225,9,0.6759259259259259,0.0,0,0.6666666666666666,0.0,0,0.3611111111111111,0.0,0,0.5944444444444444,0.025,1,,0,0,0,0,0
21328141,도미노피자 잠실본점,잠실,양식,,2.4,21,,38,0.7300134138118763,0.07894736842105263,3,0.6827886002886004,0.02631578947368421,1,0.6759259259259259,0.0,0,0.6666666666666666,0.0,0,0.3611111111111111,0.0,0,0.58,0.0,0,"bar,room",0,0,0,0,0
985464745,카페르뽀,잠실,카페 디저트,,4.8,11,,31,0.8390435870673024,0.1935483870967742,6,0.6274509803921569,0.0,0,0.6666666666666666,0.0,0,0.5,0.0,0,0.3742424242424242,0.0,0,0.5,0.0,0,room,0,0,0,0,0
17163273,농민백암순대 본점,강남,한식,,4.5,1570,,5,0.8085296360065944,0.4,2,0.5886904761904762,0.0,0,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
27531028,중앙해장,강남,한식,,4.1,1586,,5,0.8085296360065944,0.4,2,0.5886904761904762,0.0,0,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,,0,0,0,0,0
2073285111,신사모소리,강남,한식,,4.3,250,,42,0.8815375452760245,0.21428571428571427,9,0.5929315476190475,0.07142857142857142,3,0.6199999999999999,0.0,0,0.574074074074074,0.023809523809523808,1,0.44570707070707066,0.023809523809523808,1,0.5964285714285714,0.0,0,"group,room",0,0,0,0,0
13092552,뉴만두집,강남,한식,,3.9,540,,42,0.8815375452760245,0.21428571428571427,9,0.5179315476190476,0.07142857142857142,3,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
12418029,을밀대 강남점,강남,한식,,3.6,376,,42,0.6508824956405601,0.14285714285714285,6,0.5633503401360545,0.047619047619047616,2,0.6277777777777777,0.023809523809523808,1,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
14569639,이도곰탕 본점,강남,한식,,4.1,363,,40,0.7773138301364108,0.25,10,0.6016865079365079,0.025,1,0.6277777777777777,0.025,1,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.6081349206349206,0.025,1,room,0,0,0,0,0
1511737742,돝고기506,강남,한식,,3.5,323,,39,0.8497306904564969,0.3076923076923077,12,0.5461309523809524,0.02564102564102564,1,0.5722222222222222,0.02564102564102564,1,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.6081349206349206,0.02564102564102564,1,"group,room",0,0,0,0,0
27261403,능라도 강남점,강남,한식,,3.8,246,,40,0.8945971003682698,0.275,11,0.491921768707483,0.05,2,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
2142723351,해담채 강남점,강남,한식,,4.1,158,,38,0.7449634315057702,0.07894736842105263,3,0.5633503401360545,0.05263157894736842,2,0.6277777777777777,0.02631578947368421,1,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,"group,room",0,0,0,0,0
26565017,진대감 선릉점,강남,한식,,4.7,2058,,43,0.9097214448445349,0.32558139534883723,14,0.6016865079365079,0.023255813953488372,1,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,"group,room",0,0,0,1,1
8475048,한일관 압구정점,강남,한식,,3.4,144,,38,0.8122851886189355,0.21052631578947367,8,0.6016865079365079,0.02631578947368421,1,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.35822510822510817,0.05263157894736842,2,0.5525793650793651,0.02631578947368421,1,"group,room",0,1,1,0,0
1503746075,창고43 강남점,강남,한식,,3.5,263,,42,0.8445421737760448,0.11904761904761904,5,0.5929315476190475,0.07142857142857142,3,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.44570707070707066,0.023809523809523808,1,0.6081349206349206,0.023809523809523808,1,room,0,0,0,0,0
7891890,별양집,강남,한식,,4.4,156,,42,0.8815375452760245,0.21428571428571427,9,0.5179315476190476,0.07142857142857142,3,0.6199999999999999,0.0,0,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.6403061224489797,0.047619047619047616,2,room,0,0,0,0,0
2032952073,일품진진수라 선릉점,강남,한식,,4.6,669,,41,0.8497306904564969,0.2926829268292683,12,0.5886904761904762,0.0,0,0.5722222222222222,0.024390243902439025,1,0.5555555555555555,0.0,0,0.35822510822510817,0.04878048780487805,2,0.6081349206349206,0.024390243902439025,1,"group,room",0,0,0,1,0
13102233,세종한우 학동역점,강남,한식,,3.8,299,,41,0.8199634315057702,0.07317073170731707,3,0.6974206349206349,0.0975609756097561,4,0.6277777777777777,0.024390243902439025,1,0.5555555555555555,0.0,0,0.40151515151515144,0.0,0,0.5964285714285714,0.0,0,room,0,0,0,0,0
1614493196,참치공방 강남점,강남,일식,,3.8,296,,40,0.7009744681937196,0.15,6,0.7083333333333334,0.075,3,0.6833333333333333,0.0,0,0.29166666666666663,0.0,0,0.3159722222222222,0.025,1,0.577056277056277,0.0,0,"group,room",0,1,1,1,0
16875542,가나돈까스의집,강남,일식,,2.9,363,,40,0.6919994198145459,0.225,9,0.6555555555555556,0.025,1,0.6805555555555557,0.025,1,0.29166666666666663,0.0,0,0.3125,0.0,0,0.577056277056277,0.0,0,,0,0,0,0,0
1989327162,나이스샤워 역삼점,강남,일식,,4,114,,47,0.7274477222124281,0.3191489361702128,15,0.6333333333333333,0.06382978723404255,3,0.630952380952381,0.0425531914893617,2,0.29166666666666663,0.0,0,0.3125,0.0,0,0.5550401978973408,0.0425531914893617,2,"bar,room",0,0,0,0,0
18324313,미미면가 본점,강남,일식,,3.6,440,,41,0.7084923877865054,0.24390243902439024,10,0.6333333333333333,0.07317073170731707,3,0.6833333333333333,0.0,0,0.29166666666666663,0.0,0,0.3125,0.0,0,0.577056277056277,0.0,0,room,0,0,0,0,0
913979606,참치공방 선릉점,강남,일식,,4.4,248,,41,0.8373381045573559,0.14634146341463414,6,0.7333333333333333,0.0975609756097561,4,0.6833333333333333,0.0,0,0.29166666666666663,0.0,0,0.3125,0.0,0,0.591991341991342,0.024390243902439025,1,"group,room",0,0,0,0,0
15270381,스시선수,강남,일식,,4.5,77,,42,0.8373381045573559,0.14285714285714285,6,0.6555555555555556,0.023809523809523808,1,0.6833333333333333,0.0,0,0.29166666666666663,0.0,0,0.3159722222222222,0.023809523809523808,1,0.577056277056277,0.0,0,room,0,0,0,0,0
13573425,기세끼 논현점,강남,일식,,4,160,,38,0.8380254962261882,0.3157894736842105,12,0.6555555555555556,0.02631578947368421,1,0.6833333333333333,0.0,0,0.2797619047619047,0.05263157894736842,2,0.29464285714285715,0.05263157894736842,2,0.5364357864357865,0.02631578947368421,1,"group,room",0,1,1,0,0
