restaurant_id,restaurant_name,area,category,rating,review_count,couple_score,friend_meal_score,friend_drink_score,business_meal_score,business_drink_score
1428481536,강남진해장,강남,한식,3.3,546,0.006782394827698469,0.0064110594136268595,0.008059910745582727,0.002389789578232735,0.0006380534750141194
7983060,신동궁감자탕뼈숯불구이 역삼직영점,강남,한식,3.4,1319,0.0025169752485361446,0.007304857897315906,0.004271690770463261,0.00539439104516619,0.0032210260977399226
1424086789,스시마이우 강남CGV점,강남,일식,4.3,185,0.04381263855118461,0.04677452869655282,0.05209794527817327,0.0015129094882416255,0.00028182067450881627
19381618,갓포아키 도산공원점,강남,일식,4.3,81,0.0038378693729992637,0.008214480428718482,0.004925214133742664,0.002314286356736061,0.0007807661287394942
24041168,시추안하우스 삼성점,강남,중식,3.3,202,0.009473111390754917,0.03538034004029522,0.03964033149305969,0.0747473415276402,0.017775492842951383
10954377,가담,강남,중식,3.2,287,0.0020254551851283833,0.006536733665856063,0.00655147376271585,0.0010447508736215615,0.0005643864483455418
26572124,울프강스테이크하우스 청담점,강남,양식,3.7,1403,0.029344304998242293,0.005506356595530026,0.0071705068849522114,0.0010058707635336008,0.00043105278122167884
1124684582,어거스트힐 강남점,강남,양식,3.5,2235,0.1891080507266836,0.30464021763418386,0.20880743741467261,0.0058570266373958275,0.0010665368038133166
1551955711,카페프라미스,강남,카페 디저트,4.2,171,0.0046861577066178335,0.023007826689961323,0.009832791680895557,0.006886452066048421,0.0012345080015495483
1419529121,더플레이트디저트,강남,카페 디저트,3.7,132,0.0024270576687592583,0.003137315258806094,0.003424728540559844,0.0005249313848520954,0.0003967200622734074
27229361,미식일가,건대,한식,4.1,114,0.0030908220926644755,0.03239811646855122,0.027476922611650377,0.0007690008591486834,0.0002667467763524418
17101239,고흥순대국머리고기,건대,한식,3.7,188,0.004291603860595825,0.024056400021043606,0.022526471730531426,0.00103400807727687,0.00017924055153917582
413860309,고씨네 건국대점,건대,일식,4.9,28,0.005124368829529035,0.014029640079759835,0.01617251548643083,0.0010604186820146859,0.00043369700644873324
1873080066,포비,건대,일식,3.6,128,0.0032488145865363464,0.011848265565153145,0.01783856742283643,0.000350484841756855,7.166895115523042e-05
1026281815,하이디라오 건대점,건대,중식,4.2,941,0.00573451754089888,0.005981273028064263,0.0077836640377157654,0.0007310489877218993,0.00015242161407094342
610799971,송화산시도삭면 2호점,건대,중식,4.2,983,0.005369753803076075,0.002719556787018442,0.003436887804210216,0.0003301327607785811,0.00013073676468921118
747243423,드로잉레시피,건대,양식,3.6,454,0.015080798875215799,0.007108183545975036,0.005339577113995249,0.0005973007962359933,0.00017983421277352382
641607564,페르바코,건대,양식,4.9,39,0.014429498212644758,0.006345887977066979,0.0035489822719025382,0.0002721166030461704,0.00013689441489376928
1047206173,보리스카페,건대,카페 디저트,4.5,45,0.0038274058275866688,0.009480902011382209,0.013153273626432668,0.0010400456159478334,8.567357139624567e-05
693959559,해피니스디저트 건대점,건대,카페 디저트,,250,0.00719513631744728,0.002272163220098352,0.003999795906220655,0.0009977309943064664,0.00011285403594434602
1999496197,쭈꾸미도사 잠실새내점,잠실,한식,3.9,1954,0.004219537570619777,0.016196496662967116,0.016684458619650407,0.0011203670324359393,0.000688120497781003
1747047105,후발대 잠실직영점,잠실,한식,4.7,283,0.007148193144438041,0.007511800600016831,0.006950686753975349,0.0012373932829324488,0.0003849369848647257
1014186276,훈지,잠실,일식,4.9,136,0.036967190936732085,0.011814700913960044,0.027275641844697433,0.000701182543410864,0.0009651347364637908
2097670691,선남씨,잠실,일식,4.2,147,0.005739980917157887,0.0144198428345501,0.030592405881475535,0.0005255067081547358,0.0002936930275912973
1770327564,무한리필 홍태관 잠실새내본점,잠실,중식,4.3,83,0.006447111955824294,0.003214262830575756,0.003939334247788054,0.00032376267847800144,0.0002339616317457094
17969703,샹하이,잠실,중식,3.7,16,0.0035657211090358,0.008577565090834377,0.005082081928145928,0.0006561689578200439,0.00016284742371780285
1135861647,미태리 잠실새내점,잠실,양식,4.5,46,0.010083620442016496,0.006630799779970868,0.006694977991463192,0.0009830154947522256,7.367532539497701e-05
21328141,도미노피자 잠실본점,잠실,양식,2.4,21,0.005092823539364304,0.0024969958441002243,0.0037918910093664125,0.00019591155375561217,9.525849247951698e-05
985464745,카페르뽀,잠실,카페 디저트,4.8,11,0.02393901396034251,0.02464408189572499,0.019174219906386843,0.0015250874699757762,0.00039676058666739805
17163273,농민백암순대 본점,강남,한식,4.5,1570,0.02058102146533881,0.11073496900951703,0.16439152028149573,0.0011225708243722142,0.0007986170020348898
