restaurant_id,restaurant_name,area,category,rating,review_count,couple_score,friend_meal_score,friend_drink_score,business_meal_score,business_drink_score
17163273,농민백암순대 본점,강남,한식,4.5,1583,0.061568767157272594,0.03496091264717332,0.09447846374695774,0.05498083139349049,0.05498083139349049
27584230,진미평양냉면 별관,강남,한식,3.8,1212,0.07361223204062338,0.04983398950036947,0.05900028960978876,0.06457362059818127,0.044933726037841036
27531028,중앙해장,강남,한식,4.1,1563,0.13480975048530583,0.019955040436352735,0.07246746027270524,0.03474257916139759,0.02499799711805394
16421356,농민백암순대 강남직영점,강남,한식,4.6,946,0.06217733315450678,0.049513882669845646,0.1102431507572118,0.05453926151371094,0.02998121440442011
25046575,뱃고동,강남,한식,3.9,1019,0.009999417843485675,0.03383632711136501,0.03850218410534864,0.04470165568068234,0.029996229324093193
11190567,뽕나무쟁이 선릉본점,강남,한식,4.3,768,0.0638746867201831,0.015,0.024663923891651385,0.024681132197784034,0.009998961655148374
24073852,밍글스,강남,한식,4.3,425,0.009837461300309597,0.004964030693807951,0.02297763744065122,0.0833616980627496,0.0
11356521,신동궁감자탕뼈숯불구이 선릉직영점,강남,한식,3.8,1330,0.014814241486068112,0.0,0.00934984520123839,0.014994072275694523,0.014994072275694523
25744174,수담한정식 강남점,강남,한식,3.8,594,0.17729440498767385,0.12905103898907627,0.22636503349604906,0.02970609780002782,0.004995843538929711
7819490,대우부대찌개,강남,한식,3.8,587,0.0,0.01998545843327775,0.0432467158599797,0.02769810493614859,0.0
19880897,새벽집 청담점,강남,한식,3.3,283,0.023984535115392606,0.029909873429072382,0.05769005035200134,0.0148738061624618,0.009997837170213738
26794399,봉밀가 강남구청점,강남,한식,4.4,254,0.03908037323777481,0.005,0.027663414403886765,0.019391258798327385,0.004993613664254051
16063439,맛짱조개,강남,한식,4.0,1123,0.16964741311346912,0.07489990119968634,0.11323460883932908,0.1445482062062977,0.1199403102083468
12435058,리북집 논현직영점,강남,한식,3.8,771,0.024855475773208572,0.0,0.0399794074909001,0.562336104868,0.54493328513824
27512695,길목,강남,한식,4.2,349,0.05813902854009352,0.07210955678120676,0.05715733155961425,0.016140999877910907,0.01
1428481536,강남진해장,강남,한식,3.3,537,0.024806535987006065,0.07965609442551558,0.08875640143497172,0.05931738192844669,0.019999878013287592
12418029,을밀대 강남점,강남,한식,3.6,380,0.019500335423130587,0.01986634857962254,0.01986634857962254,0.004875968992248062,0.0
2073285111,신사모소리,강남,한식,4.3,246,0.132185733401275,0.07485168367730309,0.09785373822418295,0.04463681060834661,0.02999398024396925
7983060,신동궁감자탕뼈숯불구이 역삼직영점,강남,한식,3.4,1337,0.067867933484639,0.05335219616475342,0.0687881973837972,0.15877632026643818,0.09498624034930017
7891890,별양집,강남,한식,4.5,217,0.1766740426972409,0.16904987744374875,0.3105389053277881,0.18424104592610197,0.15491620359936445
14569639,이도곰탕 본점,강남,한식,4.1,373,0.00493730407523511,0.03491912043884815,0.04882885788003577,0.029884822328010353,0.019998757369782624
27261403,능라도 강남점,강남,한식,3.8,252,0.02450941594243523,0.04477255047638044,0.06347016237935618,0.014812648940611494,0.004999474296872066
13092552,뉴만두집,강남,한식,3.9,544,0.029703232672970748,0.0049978063163815985,0.040718634158077915,0.01985616313755598,0.009995698021276912
2142723351,해담채 강남점,강남,한식,4.1,165,0.04371203555037926,0.04991110884800797,0.12672615967113854,0.26985159193978475,0.2599681263825092
1511737742,돝고기506,강남,한식,3.5,318,0.05850369133355776,0.06855275578158172,0.1982728292149789,0.14232486449098947,0.13496147143484477
26565017,진대감 선릉점,강남,한식,4.8,2058,0.24186824154480024,0.1245197371552118,0.2028728386814999,0.14886014338614445,0.074978940702805
8475048,한일관 압구정점,강남,한식,3.4,146,0.07250418525237036,0.09485215924885133,0.1425417037716986,0.2533675834032484,0.13997151975412103
2032952073,일품진진수라 선릉점,강남,한식,4.7,676,0.1360022032206962,0.17451011917489287,0.2508334978476715,0.25572277045627234,0.11493547189800121
1996999092,영천영화 청담점,강남,한식,3.6,238,0.014314880010989017,0.029785571597256554,0.09735986006085673,0.18905548653494683,0.15992666508899472
7859872,풍년집 선릉점,강남,한식,4.7,151,0.0772151256359595,0.0949994453942454,0.06326417408224932,0.05900044593844646,0.01999699598417804
850873071,정돈 강남점,강남,일식,4.2,548,0.04356820021281751,0.0249366512067436,0.08036695355168921,0.005,0.0
